"Compound","tissue","conc_micromolar"
"succinate","brown adipose",503.313674156244
"succinate","brown adipose",995.246700255807
"succinate","colon",287.160665761924
"succinate","colon",309.794478657074
"succinate","colon",294.32558740375
"succinate","colon",325.791210094513
"succinate","diaphragm",469.885549988507
"succinate","diaphragm",421.584460326844
"succinate","diaphragm",283.7722397147
"succinate","gastrocnemius",170.152566200561
"succinate","gastrocnemius",264.78846402413
"succinate","gastrocnemius",126.523951243883
"succinate","gastrocnemius",367.778769315117
"succinate","heart",1339.83345058374
"succinate","heart",1187.36703124671
"succinate","heart",942.366381951065
"succinate","heart",761.382180741607
"succinate","intestine",220.406476042595
"succinate","intestine",248.44250634145
"succinate","intestine",177.70479492915
"succinate","intestine",163.307605753453
"succinate","kidney",575.644515966286
"succinate","kidney",438.280002245421
"succinate","kidney",297.882091184187
"succinate","kidney",346.305522093194
"succinate","lung",108.262112264975
"succinate","lung",99.2440108386581
"succinate","lung",90.2125260018494
"succinate","lung",101.488581306989
"succinate","liver",212.248621482972
"succinate","liver",290.56102986317
"succinate","liver",236.086903373763
"succinate","liver",229.132037574853
"succinate","pancreas",157.486508368692
"succinate","pancreas",206.650698718596
"succinate","pancreas",167.117568391747
"succinate","pancreas",159.008627406814
"succinate","quad",147.556378738355
"succinate","quad",175.890123706181
"succinate","quad",146.157334590935
"succinate","quad",177.344427279701
"succinate","skin",93.4441127592315
"succinate","skin",103.311836251248
"succinate","skin",85.154020008558
"succinate","skin",90.8258785662807
"succinate","soleus",369.71522620644
"succinate","soleus",495.627772457208
"succinate","soleus",298.449326158553
"succinate","soleus",352.03006635247
"succinate","spleen",101.277622358198
"succinate","spleen",107.419363743689
"succinate","spleen",105.12159918561
"succinate","spleen",88.445602298727
"succinate","white adipose",44.0635010931649
"succinate","white adipose",45.1856771335572
"succinate","white adipose",42.3829403671681
"succinate","white adipose",44.5013706290769
"glutamate","metastaticLungLM2",2930.45482347484
"aspartate","metastaticLungLM2",1489.68031859667
"a-ketoglutarate","metastaticLungLM2",37.9674641271404
"succinate","metastaticLungLM2",112.297406825535
"malate","metastaticLungLM2",67.2984776024756
"citrate/isocitrate","metastaticLungLM2",119.579274890663
"glutamate","metastaticLungLM2",3429.47066045855
"aspartate","metastaticLungLM2",1308.05218420136
"a-ketoglutarate","metastaticLungLM2",37.9714799335763
"succinate","metastaticLungLM2",123.211393134511
"malate","metastaticLungLM2",91.5847623629479
"citrate/isocitrate","metastaticLungLM2",175.409179022193
"glutamate","metastaticLungLM2",2435.31448012574
"aspartate","metastaticLungLM2",1020.04203284761
"a-ketoglutarate","metastaticLungLM2",31.0282730660231
"succinate","metastaticLungLM2",82.3815468762819
"malate","metastaticLungLM2",48.3964031222877
"citrate/isocitrate","metastaticLungLM2",110.593150663214
"glutamate","metastaticLungLM2",2436.88481572073
"aspartate","metastaticLungLM2",974.667316242124
"a-ketoglutarate","metastaticLungLM2",26.2553171711752
