"Compound","C_Label","fraction","tissue","time"
"glutamate",2,0.001696483,"pancreas",10
"glutamate",3,0.005188811,"pancreas",10
"glutamate",4,0,"pancreas",10
"glutamate",5,0.027612234,"pancreas",10
"succinate",1,0.006426908,"pancreas",10
"succinate",2,0.006889811,"pancreas",10
"succinate",3,0.003450819,"pancreas",10
"succinate",4,0.015805238,"pancreas",10
"malate",1,0.007334917,"pancreas",10
"malate",2,0.004501015,"pancreas",10
"malate",3,0.003847092,"pancreas",10
"malate",4,0.011338317,"pancreas",10
"aspartate",1,0.001994576,"pancreas",10
"aspartate",2,0.002311624,"pancreas",10
"aspartate",3,0.001326405,"pancreas",10
"aspartate",4,0.008022689,"pancreas",10
"glutamate",1,0.012944953,"spleen",75
"glutamate",2,0.004563183,"spleen",75
"glutamate",3,0.014300394,"spleen",75
"glutamate",4,0,"spleen",75
"glutamate",5,0.024395131,"spleen",75
"succinate",1,0.016847394,"spleen",75
"succinate",2,0.014525116,"spleen",75
"succinate",3,0.000563676,"spleen",75
"succinate",4,0.019750237,"spleen",75
"malate",1,0.016150371,"spleen",75
"malate",2,0.013722365,"spleen",75
"malate",3,0.001490926,"spleen",75
"malate",4,0.02242172,"spleen",75
"aspartate",1,0.013414837,"spleen",75
"aspartate",2,0.013283194,"spleen",75
"aspartate",3,0.000932337,"spleen",75
"aspartate",4,0.019398922,"spleen",75
"glutamate",1,0.006250879,"liver",75
"glutamate",2,0.002138429,"liver",75
"glutamate",3,0.005504688,"liver",75
"glutamate",4,0,"liver",75
"glutamate",5,0.022101176,"liver",75
"succinate",1,0.012887723,"liver",75
"succinate",2,0.005524791,"liver",75
"succinate",3,0.003088936,"liver",75
"succinate",4,0.011350257,"liver",75
"malate",1,0.014599627,"liver",75
"malate",2,0.003917177,"liver",75
"malate",3,0.004147667,"liver",75
"malate",4,0.005300056,"liver",75
"aspartate",1,0.011555056,"liver",75
"aspartate",2,0.002526576,"liver",75
"aspartate",3,0.000719357,"liver",75
"aspartate",4,0.003833156,"liver",75
"glutamate",1,0.009712694,"kidney",75
"glutamate",2,0.002186656,"kidney",75
"glutamate",3,0.004321544,"kidney",75
"glutamate",4,0,"kidney",75
"glutamate",5,0.009825398,"kidney",75
"succinate",1,0.010819055,"kidney",75
"succinate",2,0.004458631,"kidney",75
"succinate",3,0.001115069,"kidney",75
"succinate",4,0.005006062,"kidney",75
"malate",1,0.011643415,"kidney",75
"malate",2,0.003574175,"kidney",75
"malate",3,0.001315501,"kidney",75
"malate",4,0.004799309,"kidney",75
"aspartate",1,0.00454406,"kidney",75
"aspartate",2,0.003722429,"kidney",75
"aspartate",3,0.00075821,"kidney",75
"aspartate",4,0.004175436,"kidney",75
"glutamate",1,0.008856262,"lung",75
"glutamate",2,0.002369902,"lung",75
"glutamate",3,0.006240758,"lung",75
"glutamate",4,0,"lung",75
"glutamate",5,0.008573484,"lung",75
"succinate",1,0.006088323,"lung",75
"succinate",2,0.005118191,"lung",75
"succinate",3,0.000633092,"lung",75
"succinate",4,0,"lung",75
"malate",1,0.010052184,"lung",75
"malate",2,0.00477745,"lung",75
"malate",3,0.001034823,"lung",75
"malate",4,0.006458766,"lung",75
"aspartate",1,0.007524727,"lung",75
"aspartate",2,0.005155744,"lung",75
"aspartate",3,0.000630274,"lung",75
"aspartate",4,0.006236088,"lung",75
"glutamate",1,0.006883404,"quad",75
"glutamate",2,0.001521656,"quad",75
"glutamate",3,0.005750621,"quad",75
"glutamate",4,0,"quad",75
"glutamate",5,0.013253488,"quad",75
"succinate",1,0.009149494,"quad",75
"succinate",2,0.004812151,"quad",75
"succinate",3,0.000132495,"quad",75
"succinate",4,0.007041918,"quad",75
"malate",1,0.008934367,"quad",75
"malate",2,0.005022867,"quad",75
"malate",3,0.000441286,"quad",75
"malate",4,0.007347577,"quad",75
"aspartate",1,0.009018521,"quad",75
"aspartate",2,0.003687223,"quad",75
"aspartate",3,0,"quad",75
"aspartate",4,0.007257056,"quad",75
"glutamate",1,0.017202504,"intestine",75
"glutamate",2,0.005979361,"intestine",75
"glutamate",3,0.015952424,"intestine",75
"glutamate",4,0,"intestine",75
"glutamate",5,0.028656674,"intestine",75
"succinate",1,0.02501199,"intestine",75
"succinate",2,0.01894686,"intestine",75
"succinate",3,0.00458807,"intestine",75
"succinate",4,0.027611417,"intestine",75
"malate",1,0.022612076,"intestine",75
"malate",2,0.016855574,"intestine",75
"malate",3,0.004085437,"intestine",75
"malate",4,0.024339505,"intestine",75
"aspartate",1,0.016308863,"intestine",75
"aspartate",2,0.012991867,"intestine",75
"aspartate",3,0.000961668,"intestine",75
"aspartate",4,0.019725246,"intestine",75
"glutamate",1,0.020312752,"pancreas",75
"glutamate",2,0.010347455,"pancreas",75
"glutamate",3,0.018927586,"pancreas",75
"glutamate",4,0,"pancreas",75
"glutamate",5,0.062050313,"pancreas",75
"succinate",1,0.028928343,"pancreas",75
"succinate",2,0.022958252,"pancreas",75
"succinate",3,0.011159749,"pancreas",75
"succinate",4,0.038789779,"pancreas",75
"malate",1,0.025591173,"pancreas",75
"malate",2,0.020005828,"pancreas",75
"malate",3,0.01137595,"pancreas",75
"malate",4,0.032345431,"pancreas",75
"aspartate",1,0.02092231,"pancreas",75
"aspartate",2,0.018736468,"pancreas",75
"aspartate",3,0.008449625,"pancreas",75
"aspartate",4,0.029624406,"pancreas",75
"glutamate",1,0.01087827,"spleen",75
"glutamate",2,0.003718656,"spleen",75
"glutamate",3,0.011539136,"spleen",75
"glutamate",4,0,"spleen",75
"glutamate",5,0.018373102,"spleen",75
"succinate",1,0.014219016,"spleen",75
"succinate",2,0.0123703,"spleen",75
