"Compound","C_Label","fraction","tissue","time","omitFromFit"
"succinate",3,0.002840068,"quad",90,FALSE
"malate",1,0.034708895,"quad",90,FALSE
"malate",2,0.01859168,"quad",90,FALSE
"malate",3,0.005633179,"quad",90,FALSE
"aspartate",1,0.027519116,"quad",90,FALSE
"aspartate",2,0.013668684,"quad",90,FALSE
"aspartate",3,0.005011129,"quad",90,FALSE
"glutamate",1,0.03164867,"quad",90,FALSE
"glutamate",2,0.022171604,"quad",90,FALSE
"glutamate",3,0.003761898,"quad",90,FALSE
"succinate",1,0.027012798,"quad",90,FALSE
"succinate",2,0.017869638,"quad",90,FALSE
"succinate",3,0.004874161,"quad",90,FALSE
"malate",1,0.032680228,"quad",90,FALSE
"malate",2,0.01658662,"quad",90,FALSE
"malate",3,0.005989696,"quad",90,FALSE
"aspartate",1,0.026475383,"quad",90,FALSE
"aspartate",2,0.013712192,"quad",90,FALSE
"aspartate",3,0.005299864,"quad",90,FALSE
"glutamate",1,0.044473847,"spleen",90,FALSE
"glutamate",2,0.046285052,"spleen",90,FALSE
"glutamate",3,0.005313604,"spleen",90,FALSE
"succinate",1,0.054233277,"spleen",90,FALSE
"succinate",2,0.043287935,"spleen",90,FALSE
"succinate",3,0.002602234,"spleen",90,FALSE
"malate",1,0.050264282,"spleen",90,FALSE
"malate",2,0.035932801,"spleen",90,FALSE
"malate",3,0.005364978,"spleen",90,FALSE
"aspartate",1,0.042404866,"spleen",90,FALSE
"aspartate",2,0.033909211,"spleen",90,FALSE
"aspartate",3,0.004093082,"spleen",90,FALSE
"glutamate",1,0.044958279,"spleen",90,FALSE
"glutamate",2,0.039502982,"spleen",90,FALSE
"glutamate",3,0.004573641,"spleen",90,FALSE
"succinate",1,0.046165616,"spleen",90,FALSE
"succinate",2,0.03257865,"spleen",90,FALSE
"succinate",3,0.00181785,"spleen",90,FALSE
"malate",1,0.047016755,"spleen",90,FALSE
"malate",2,0.030190931,"spleen",90,FALSE
"malate",3,0.005101079,"spleen",90,FALSE
"aspartate",1,0.04585438,"spleen",90,FALSE
"aspartate",2,0.029030509,"spleen",90,FALSE
"aspartate",3,0.004162761,"spleen",90,FALSE
"glutamate",1,0.046774473,"brown adipose",90,TRUE
"glutamate",2,0.035775298,"brown adipose",90,TRUE
"glutamate",3,0.006856797,"brown adipose",90,TRUE
"succinate",1,0.072232446,"brown adipose",90,TRUE
"succinate",2,0.033407897,"brown adipose",90,TRUE
"succinate",3,0.011522615,"brown adipose",90,TRUE
"malate",1,0.068399612,"brown adipose",90,TRUE
"malate",2,0.029481381,"brown adipose",90,TRUE
"malate",3,0.012454359,"brown adipose",90,TRUE
"aspartate",1,0.044995992,"brown adipose",90,TRUE
"aspartate",2,0.020986144,"brown adipose",90,TRUE
"aspartate",3,0.008506257,"brown adipose",90,TRUE
